(.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusElite  iteration  eliteResults) (.ID.  algorithm  localsearch  alpha  beta  rho  ants  q0  rasrank  elitistants  nnls  dlb  statusNew  iteration  newResults)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (115  acs  3  4.709  8.3894  0.3232  32  0.327  NA  NA  14  1  ne  3  33224969.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (116  mmas  0  3.4559  7.1456  0.1134  22  NA  NA  NA  NA  NA  ne  3  40977210.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (117  ras  3  2.1934  5.8379  0.1884  17  NA  7  NA  21  1  ne  3  33171190.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (118  ras  3  1.7937  9.4389  0.1164  24  NA  25  NA  9  1  ne  3  33353553.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (119  acs  3  4.4589  8.567  0.7282  52  0.9304  NA  NA  12  0  ne  3  33285055)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (120  eas  3  4.0119  9.4233  0.5238  22  NA  NA  276  11  0  ne  3  33225917.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (121  mmas  2  2.9158  4.6729  0.0233  24  NA  NA  NA  5  1  ne  3  35060212.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (122  mmas  3  2.2146  6.7068  0.639  48  NA  NA  NA  16  1  ne  3  33353409.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (123  as  3  1.7239  6.8173  0.2846  11  NA  NA  NA  13  1  ne  3  33279151.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (124  ras  3  2.6016  9.0064  0.0275  12  NA  12  NA  13  0  ne  3  33203857.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (125  ras  3  2.5654  9.5562  0.101  36  NA  18  NA  20  1  ne  3  33255765.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (126  as  3  3.4051  9.7859  0.2925  11  NA  NA  NA  32  1  ne  3  33179981.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (127  mmas  0  3.5718  8.7358  0.0171  29  NA  NA  NA  NA  NA  ne  3  40642846.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (128  acs  3  1.129  8.7721  0.2851  8  0.2993  NA  NA  32  1  ne  3  33223716)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (129  eas  3  1.1374  6.6615  0.2468  17  NA  NA  153  24  1  ne  3  33234006.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (130  acs  1  4.4015  5.9461  0.1036  64  0.0441  NA  NA  16  1  ne  3  34124587.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (131  ras  3  1.0116  7.4342  0.1708  24  NA  9  NA  30  1  ne  3  33329003)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (132  as  2  4.9006  8.0985  0.3713  46  NA  NA  NA  22  1  ne  3  33579901)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (133  eas  1  2.929  9.4116  0.2279  40  NA  NA  151  22  1  ne  3  33846303.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  ne  3  33100996.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  3  33118190.8571429) (135  ras  0  2.7341  9.8387  0.1483  71  NA  3  NA  NA  NA  ne  3  38664917)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (139  ras  3  2.4514  7.1345  0.1571  24  NA  11  NA  28  1  ne  4  33176544)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (140  acs  2  2.3583  9.4705  0.3435  9  0.0863  NA  NA  9  1  ne  4  33480395.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (144  ras  3  4.2588  8.4161  0.1723  21  NA  9  NA  23  1  ne  4  33111471.7777778)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (149  ras  2  3.2607  6.8494  0.3646  16  NA  11  NA  14  1  ne  4  33368151.4)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (152  ras  3  3.8737  6.0224  0.0533  14  NA  13  NA  26  0  ne  4  33120702.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (156  as  3  3.127  6.6349  0.4991  27  NA  NA  NA  17  1  ne  4  33110530.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (161  ras  3  3.6477  9.36  0.1095  16  NA  28  NA  20  1  ne  4  33127057.6666667)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (164  acs  3  3.9829  6.6807  0.198  22  0.2758  NA  NA  22  1  ne  4  33084154.8)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (167  ras  3  3.1409  6.4689  0.2708  18  NA  34  NA  17  1  ne  4  33077115.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (169  ras  3  3.5673  7.794  0.5159  15  NA  56  NA  23  1  ne  4  33087487.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (172  ras  3  3.3251  7.623  0.2563  44  NA  4  NA  19  1  ne  4  33153790.6)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (173  ras  3  1.3624  8.2686  0.2977  13  NA  10  NA  21  1  ne  4  33202313.2)
(79  ras  3  3.4284  8.9382  0.187  14  NA  11  NA  19  1  e  4  33115897.1111111) (174  ras  3  3.8582  6.9841  0.0919  21  NA  3  NA  21  1  ne  4  33187341.6)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (138  as  3  2.2961  9.0934  0.3588  28  NA  NA  NA  11  1  ne  4  33212052)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (145  as  0  4.7484  6.4822  0.5264  8  NA  NA  NA  NA  NA  ne  4  39499549.4)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (146  as  3  2.9867  7.2463  0.5426  26  NA  NA  NA  13  1  ne  4  33097276.4)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (148  as  3  4.7563  9.0046  0.179  24  NA  NA  NA  8  1  ne  4  33225809.4)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (151  as  3  1.967  8.3447  0.5414  20  NA  NA  NA  12  1  ne  4  33161624.4)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (157  ras  3  2.6045  9.8596  0.4079  22  NA  15  NA  11  0  ne  4  33085624.4)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (168  mmas  2  4.6042  3.9344  0.4612  39  NA  NA  NA  17  1  ne  4  33355216.8)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (170  as  3  3.6728  7.0157  0.4651  10  NA  NA  NA  10  1  ne  4  33059498.3333333)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (176  as  3  3.1039  8.1237  0.4281  15  NA  NA  NA  13  1  ne  4  33061717.6)
(99  as  3  3.472  7.9249  0.4965  6  NA  NA  NA  11  1  e  4  33058339.6666667) (177  ras  3  3.4036  7.7628  0.4485  32  NA  37  NA  12  1  ne  4  33097292.6)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (136  as  3  4.1492  6.7294  0.2836  24  NA  NA  NA  33  1  ne  4  33128869)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (137  as  3  4.6362  9.6169  0.1693  18  NA  NA  NA  22  1  ne  4  33122371.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (141  acs  3  3.9328  7.1428  0.4416  16  0.0175  NA  NA  27  1  ne  4  33108582.6666667)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (143  ras  3  4.5007  8.9477  0.0864  14  NA  12  NA  17  1  ne  4  33066193.6666667)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (150  as  3  4.0228  6.5539  0.3725  36  NA  NA  NA  19  1  ne  4  33107710.6)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (158  as  3  4.3894  8.3501  0.0578  5  NA  NA  NA  12  1  ne  4  33121903.2)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (159  ras  2  4.7074  8.8335  0.2233  7  NA  18  NA  17  1  ne  4  33412614.6)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (163  as  1  4.3971  8.7055  0.0443  10  NA  NA  NA  11  1  ne  4  33893112.6)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (175  as  3  3.7967  9.9623  0.1729  5  NA  NA  NA  19  1  ne  4  33091284.4)
(103  as  3  4.8196  9.6206  0.1607  7  NA  NA  NA  18  1  e  4  33041298.2222222) (179  ras  3  2.602  8.3663  0.0563  6  NA  23  NA  26  1  ne  4  33098141.6)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (142  ras  3  3.7648  7.9948  0.5775  42  NA  33  NA  12  0  ne  4  33200074.2)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (147  as  1  1.9058  4.8963  0.5053  62  NA  NA  NA  14  1  ne  4  33984113.4)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (153  as  3  3.012  7.9785  0.1587  8  NA  NA  NA  12  0  ne  4  33086330.2)
(134  ras  3  2.6647  6.7745  0.3707  23  NA  20  NA  8  0  e  4  33140224.8888889) (154  ras  3  3.6612  7.2919  0.4633  16  NA  19  NA  10  1  ne  4  33088656.1111111)
