Run Fitness1 Solution1 Elite1 Iteration1 Fitness2 Solution2 Elite2 Iteration2
1 3302838.80 3017025 T 1 4344207.11 3006023 F 2
1 3302838.80 3017025 T 1 3302772.60 3019019 T 2
1 3302838.80 3017025 T 1 2765638.89 3035019 T 2
1 3302838.80 3017025 T 1 3627385.27 3019027 F 2
1 3302838.80 3017025 T 1 4346529.56 3023025 F 2
1 3302838.80 3017025 T 1 4346874.44 3009015 F 2
1 3302838.80 3017025 T 1 4346411.11 3015049 F 2
1 3302838.80 3017025 T 1 4647251.60 3006035 F 2
1 3302838.80 3017025 T 1 4059969.00 0013013 F 2
1 3302838.80 3017025 T 1 4665060.40 2015015 F 2
1 3302838.80 3017025 T 1 4676138.40 0029023 F 2
1 3302838.80 3017025 T 1 4346565.78 3021023 F 2
1 3302838.80 3017025 T 1 4680421.60 1037017 F 2
1 3302838.80 3017025 T 1 4668243.20 1006033 F 2
1 3302838.80 3017025 T 1 4671882.80 2006031 F 2
1 3302838.80 3017025 T 1 4665177.20 2013029 F 2
1 3302838.80 3017025 T 1 4672562.40 1011025 F 2
1 3302838.80 3017025 T 1 4663366.80 1015031 F 2
1 3302838.80 3017025 T 1 2769560.44 3023019 F 2
1 3302838.80 3017025 T 1 2771375.56 3027013 F 2
1 3302838.80 3017025 T 1 4343976.44 3009017 F 2
1 3302838.80 3017025 T 1 2769560.44 3023019 F 2
1 3302838.80 3017025 T 1 4367352.00 2027019 F 2
1 3302838.80 3017025 T 1 4679181.60 0033021 F 2
1 3302838.80 3017025 T 1 3626806.36 3029031 T 2
1 3302838.80 3017025 T 1 4344611.11 3011023 F 2
1 3302838.80 3017025 T 1 4655830.00 3025039 F 2
1 3302838.80 3017025 T 1 4659272.40 1013025 F 2
1 3302838.80 3017025 T 1 4346553.56 3013021 F 2
1 3302838.80 3017025 T 1 4663447.60 0023017 F 2
1 3302838.80 3017025 T 1 3304017.20 3021007 F 2
1 3302838.80 3017025 T 1 3938622.00 3017039 F 2
1 3302838.80 3017025 T 1 4360024.00 1005027 F 2
1 3302838.80 3017025 T 1 4647757.60 3006019 F 2
1 3302838.80 3017025 T 1 2778602.00 2045017 F 2
1 3302838.80 3017025 T 1 4662428.40 2017037 F 2
1 3625044.55 3019035 T 1 3483627.43 3013039 F 2
1 3625044.55 3019035 T 1 4677252.00 0015021 F 2
1 3625044.55 3019035 T 1 4365895.11 2011017 F 2
1 3625044.55 3019035 T 1 4667314.00 1035033 F 2
1 3625044.55 3019035 T 1 4672947.20 0013035 F 2
1 3625044.55 3019035 T 1 4342415.56 3009047 F 2
1 3625044.55 3019035 T 1 3625973.45 3006027 F 2
1 3625044.55 3019035 T 1 4669314.00 1006041 F 2
1 3625044.55 3019035 T 1 4671196.40 0033035 F 2
1 3625044.55 3019035 T 1 4676712.00 1001041 F 2
1 3625044.55 3019035 T 1 4347269.11 3013029 F 2
1 3625044.55 3019035 T 1 4658852.80 1025039 F 2
1 3625044.55 3019035 T 1 4673240.40 2006033 F 2
1 3625044.55 3019035 T 1 4647724.40 3019031 F 2
1 3625044.55 3019035 T 1 4670977.60 1017033 F 2
1 3625044.55 3019035 T 1 3217672.40 3009027 F 2
1 3625044.55 3019035 T 1 4668304.00 0033043 F 2
1 3625044.55 3019035 T 1 4667043.60 1017041 F 2
1 3625044.55 3019035 T 1 3051555.50 3025041 F 2
1 3625044.55 3019035 T 1 4674104.80 1023041 F 2
1 3625044.55 3019035 T 1 4349520.89 3019049 F 2
1 3625044.55 3019035 T 1 4350236.67 3009037 F 2
1 3625044.55 3019035 T 1 4345448.44 3017027 F 2
1 3625044.55 3019035 T 1 4668342.40 0013041 F 2
1 3625044.55 3019035 T 1 4656301.20 0017049 F 2
1 3625044.55 3019035 T 1 4666476.00 1017045 F 2
1 3625044.55 3019035 T 1 4647724.40 3019031 F 2
1 3625044.55 3019035 T 1 4668420.40 0006035 F 2
1 3625044.55 3019035 T 1 4669666.00 0027035 F 2
1 3625044.55 3019035 T 1 3577047.56 2033045 F 2
1 3625044.55 3019035 T 1 4659272.40 1013025 F 2
1 3625044.55 3019035 T 1 4347269.11 3013029 F 2
1 3625044.55 3019035 T 1 4671103.60 0017037 F 2
1 3625044.55 3019035 T 1 3629322.73 3009035 F 2
1 3625044.55 3019035 T 1 4674751.20 0021025 F 2
1 3625044.55 3019035 T 1 4665961.20 1027041 F 2
1 3625044.55 3019035 T 1 4344844.00 3013033 F 2
1 3625044.55 3019035 T 1 4665922.40 2017023 F 2
1 3625044.55 3019035 T 1 4674412.00 0021035 F 2
1 3625044.55 3019035 T 1 4669442.80 0025053 F 2
1 454835.60 3043029 T 2 457822.80 1049037 F 3
1 454835.60 3043029 T 2 4659107.60 1059029 F 3
1 454835.60 3043029 T 2 454835.60 3043029 T 3
1 454835.60 3043029 T 2 4674989.60 2057027 F 3
1 454835.60 3043029 T 2 3048925.75 3041035 F 3
1 454835.60 3043029 T 2 4695737.20 0057033 F 3
1 454835.60 3043029 T 2 458920.40 3051033 F 3
1 454835.60 3043029 T 2 4678088.40 2047025 T 3
1 454835.60 3043029 T 2 3632123.45 3055041 F 3
1 454835.60 3043029 T 2 457385.20 3035033 F 3
1 454835.60 3043029 T 2 3256692.00 1031039 F 3
1 454835.60 3043029 T 2 4674819.60 2035029 F 3
1 454835.60 3043029 T 2 2378270.18 3037015 T 3
1 454835.60 3043029 T 2 2782613.78 2055027 F 3
1 454835.60 3043029 T 2 4665734.00 0033029 F 3
1 454835.60 3043029 T 2 3560140.67 3049017 F 3
1 454835.60 3043029 T 2 4678096.40 2043021 F 3
1 454835.60 3043029 T 2 3630783.09 3049031 F 3
1 454835.60 3043029 T 2 1648918.67 1053019 F 3
1 454835.60 3043029 T 2 2766729.56 3039021 F 3
1 454835.60 3043029 T 2 3626702.73 3037031 F 3
1 454835.60 3043029 T 2 461276.40 1049029 F 3
